lambda_weight,run_id,algorithm,accuracy_norm,energy_per_token_norm,latency_norm,reward,total_energy_wh
0.9,942,linucb,0.4932420702360926,0.06757480005772111,0.10361408772215197,0.8885068869716602,86.01064945044729
0.9,942,random,0.5092104788405282,0.16434885291439677,0.20139630449132803,0.8030070802610957,234.44992741303741
0.9,942,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,942,thompson_sampling,0.4840118956411052,0.07461470755945948,0.11144463204762203,0.8812479527605971,95.80148269638171
0.9,943,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,943,epsilon_greedy,0.32701718184996964,0.05243113103071757,0.09250267266682032,0.8855137002573512,60.065316767433785
0.9,943,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,943,linear_epsilon_greedy,0.3913476652754914,0.061421861856195054,0.09959783769322636,0.8838550908569736,77.6746461037818
0.9,943,linucb,0.4712981029690546,0.06618935671301471,0.10151371049996531,0.8875593892551922,83.59343812381815
0.9,943,random,0.5087592164206303,0.16546588482266644,0.20241334906761815,0.8019566253016632,236.65185104674995
0.9,943,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,943,thompson_sampling,0.47315730015529317,0.07330285683328762,0.11099807390656895,0.8813431588655705,92.00983869505536
0.9,944,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,944,epsilon_greedy,0.3784562644080024,0.04604279838717859,0.06845775918387119,0.8964071078923395,62.299184083031975
0.9,944,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,944,linear_epsilon_greedy,0.45607898642225037,0.05960833202133289,0.09549870632416989,0.8919603998230253,91.42106019025421
0.9,944,linucb,0.4751987321193689,0.06712385436371344,0.10356549397944587,0.8871084042845949,82.28790863025966
0.9,944,random,0.5005716064167143,0.16817173495693943,0.20546100871772738,0.798702599180426,241.25008600134146
0.9,944,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,944,thompson_sampling,0.48379036919077123,0.07434298860374029,0.11218350990615122,0.8814703471757108,97.85969157897183
0.9,945,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,945,epsilon_greedy,0.3754532762835261,0.04635927166965429,0.07095682817579767,0.8958219831256637,63.64804505144476
0.9,945,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,945,linear_epsilon_greedy,0.4293533653439922,0.06065431274538787,0.1024567867274169,0.8883464550635501,72.83142262619249
0.9,945,linucb,0.47730427262939545,0.06892344290184868,0.10652038752985929,0.8856993286512758,83.33999732604862
0.9,945,random,0.5156834723116954,0.16344304399663145,0.20276568160502784,0.8044696076342013,233.73807809596934
0.9,945,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,945,thompson_sampling,0.46979474840613095,0.07393625580431183,0.11291088013647398,0.8804368446167323,91.41886946236147
0.9,946,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,946,epsilon_greedy,0.4598566205257051,0.0651638818966227,0.09968804923857134,0.8873381683456101,85.07255473518931
0.9,946,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,946,linear_epsilon_greedy,0.47838700293247455,0.06489806120074258,0.09758234119570837,0.8894304452125791,105.85444777374249
0.9,946,linucb,0.4912274070174076,0.06842068017468389,0.10399424877155806,0.8875441285445254,83.46968106449839
0.9,946,random,0.5103404466917772,0.16759489738562078,0.2042571196635463,0.800198637022119,228.580520500974
0.9,946,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,946,thompson_sampling,0.49005193473832914,0.07559784499619561,0.11470233662932112,0.8809671329772569,98.19622930492241
0.9,947,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,947,epsilon_greedy,0.3287311544228753,0.05245026211056538,0.09310346705135053,0.8856678795427786,57.723650147267655
0.9,947,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,947,linear_epsilon_greedy,0.4882324589228584,0.06476513642811195,0.09664703597525909,0.8905346231069851,81.55238370765846
0.9,947,linucb,0.4920430029384036,0.07093049594721763,0.10912198198784784,0.8853668539413445,87.38936347245502
0.9,947,random,0.5170335190369026,0.16651222995261938,0.20528289392756618,0.8018423449463329,224.51202859008956
0.9,947,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,947,thompson_sampling,0.4890487259078973,0.0744250095403884,0.11192286627549226,0.8819223640044401,94.03006511648417
0.9,948,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,948,epsilon_greedy,0.33201097951916847,0.05271056132579412,0.09285220772326194,0.8857615927587021,61.96532802812387
0.9,948,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,948,linear_epsilon_greedy,0.49614929553374504,0.07613445279434176,0.11607973209020474,0.8810939220384669,106.44709070684327
0.9,948,linucb,0.49044854704075,0.06848735989412351,0.10596097130725259,0.887406230799364,86.87010554073748
0.9,948,random,0.5168635217412048,0.16959180676571345,0.20641264245030783,0.7990537260849784,243.21623824314625
0.9,948,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,948,thompson_sampling,0.4724645132884538,0.07465038000497008,0.1138970240006238,0.8800611093243722,93.27653105235035
0.9,949,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,949,epsilon_greedy,0.3241412835653285,0.05108784277007205,0.09150840722880657,0.886435069863468,56.91135095172475
0.9,949,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,949,linear_epsilon_greedy,0.5044828065045098,0.08375734370375953,0.12148816658802855,0.8750666713170675,110.81886662693987
0.9,949,linucb,0.4914556175814131,0.06840952686910666,0.10545362844767503,0.8875769875759454,81.63201035119741
0.9,949,random,0.5111094627988367,0.16860417862420207,0.20324714523965962,0.7993671855181018,248.14159954391397
0.9,949,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
